Waf: Entering directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
[2603/2653] Compiling scratch/vanet3-p2p.cc
[2612/2653] Linking build/scratch/vanet3-p2p
Waf: Leaving directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.231s)
n
n
n
n
n
n
n
n
n
n
n
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:1e, uid, 108, RXtime, +457581618.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:1e, uid, 108, RXtime, +457581618.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:1c, uid, 112, RXtime, +459381311.0ns,
Promiscuous, NodeId, 26, , from, 02-06-00:00:00:00:00:1c, uid, 112, RXtime, +459381461.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:1c, uid, 112, RXtime, +459381461.0ns,
Promiscuous, NodeId, 21, , from, 02-06-00:00:00:00:00:1c, uid, 112, RXtime, +459381462.0ns,
Promiscuous, NodeId, 23, , from, 02-06-00:00:00:00:00:1c, uid, 112, RXtime, +459381462.0ns,
Promiscuous, NodeId, 24, , from, 02-06-00:00:00:00:00:1c, uid, 112, RXtime, +459381628.0ns,
Promiscuous, NodeId, 25, , from, 02-06-00:00:00:00:00:1c, uid, 112, RXtime, +459381628.0ns,
Promiscuous, NodeId, 29, , from, 02-06-00:00:00:00:00:1c, uid, 112, RXtime, +459381628.0ns,
Promiscuous, NodeId, 10, , from, 02-06-00:00:00:00:00:10, uid, 116, RXtime, +476165879.0ns,
Promiscuous, NodeId, 16, , from, 02-06-00:00:00:00:00:10, uid, 116, RXtime, +476166029.0ns,
Promiscuous, NodeId, 11, , from, 02-06-00:00:00:00:00:10, uid, 116, RXtime, +476166030.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:10, uid, 116, RXtime, +476166196.0ns,
Promiscuous, NodeId, 17, , from, 02-06-00:00:00:00:00:10, uid, 116, RXtime, +476166196.0ns,
Promiscuous, NodeId, 26, , from, 02-06-00:00:00:00:00:16, uid, 120, RXtime, +2013926290.0ns,
